SaleId,ProductId,ProductName,Quantity,TotalAmount,SaleDate
1,1,Laptop - Dell Inspiron 15,5,4000.00,1/19/2025 5:34:31 PM
2,2,Desktop - HP Pavilion 590,3,1800.00,1/19/2025 5:34:31 PM
3,3,Monitor - Samsung 24" LED,10,1500.00,1/19/2025 5:34:31 PM
4,4,Keyboard - Logitech Wireless,15,300.00,1/19/2025 5:34:31 PM
5,5,Mouse - HP Wired Optical,25,250.00,1/19/2025 5:34:31 PM
6,6,Printer - Canon PIXMA G3010,7,1260.00,1/19/2025 5:34:31 PM
7,7,External HDD - WD 1TB,8,480.00,1/19/2025 5:34:31 PM
8,8,RAM - Corsair DDR4 8GB,10,400.00,1/19/2025 5:34:31 PM
9,9,Motherboard - ASUS Prime B550,2,300.00,1/19/2025 5:34:31 PM
10,10,Graphics Card - NVIDIA GTX 3060,1,400.00,1/19/2025 5:34:31 PM
